VideoID,Title,PublishedAt,ChannelName,Views,Likes,Comments,Duration_seconds
-2is0rI_tow,كيف تتعلم اللغة الصينية في ٤٠ سنة؟ | الدحيح,2024-03-02 17:00:07+00:00,New Media Academy Life ,4536410.0,127193.0,4325.0,1770.0
AveQVd2ubZI,كيف لكائن انتصرنا عليه أن ينتصر علينا | الدحيح,2024-02-27 17:00:08+00:00,New Media Academy Life ,2535775.0,77488.0,1394.0,1540.0
Y2rFelckA48,نابليون في القاهرة | الدحيح,2024-02-24 17:00:11+00:00,New Media Academy Life ,8278000.0,150643.0,4564.0,2180.0
QYTj9X39KJc,الميتافيرس | الدحيح,2024-02-20 17:00:12+00:00,New Media Academy Life ,2207038.0,87350.0,1328.0,1399.0
lH7vAzmmB-M,الكساد العظيم  | الدحيح,2024-02-17 17:00:11+00:00,New Media Academy Life ,4036864.0,94300.0,1540.0,1737.0
xWmIsG72d24,نحو نحوٍ افضل | الدحيح,2024-02-13 17:00:08+00:00,New Media Academy Life ,2956303.0,111083.0,4537.0,1477.0
wsO1Fxxzarc,توحيد ألمانيا | الدحيح,2024-02-10 17:49:31+00:00,New Media Academy Life ,5051350.0,105111.0,1617.0,1700.0
jDs55BiCSBk,مايحدث في المشرحة | الدحيح,2024-02-06 17:00:11+00:00,New Media Academy Life ,5701861.0,168948.0,2673.0,1461.0
z5d-xsBYAFo,كارت أحمر | الدحيح,2024-02-03 17:00:11+00:00,New Media Academy Life ,1985144.0,70789.0,1422.0,1401.0
_Eduwcfv2_I,الجزائري الذي أبكى فرنسا | الدحيح,2024-01-30 17:00:10+00:00,New Media Academy Life ,4749907.0,197139.0,11316.0,1885.0
0MPLzRDCFAg,يوم في حياة رائـد فضاء | الدحيح,2024-01-27 17:00:09+00:00,New Media Academy Life ,3647549.0,93755.0,1739.0,1888.0
D0ha_xUqI24,ما يميت يفيد | الدحيح,2024-01-23 17:00:11+00:00,New Media Academy Life ,2961333.0,82381.0,1359.0,1460.0
tMOfWn_J58E,مايك تايسون | الدحيح,2024-01-20 17:00:10+00:00,New Media Academy Life ,5055317.0,160786.0,2595.0,1968.0
Z8het4evBqA,الذئب | الدحيح,2024-01-16 17:00:08+00:00,New Media Academy Life ,3097080.0,102253.0,1859.0,1135.0
CFeW61i_MLA,لماذا أكره الطبيعة | الدحيح,2024-01-13 17:00:07+00:00,New Media Academy Life ,2500103.0,72384.0,1315.0,1366.0
3gyeOcpdc6g,حرب النباتات | الدحيح,2024-01-09 17:00:10+00:00,New Media Academy Life ,2054491.0,70410.0,1702.0,1395.0
q8odl57WQYE,الجريمة التي لايعلم عنها أحد | الدحيح,2024-01-06 17:00:08+00:00,New Media Academy Life ,5943852.0,187805.0,3581.0,1727.0
qMqPJIozZvc,الأعاصير | الدحيح,2024-01-02 17:00:09+00:00,New Media Academy Life ,2308640.0,71053.0,1009.0,1341.0
O7uNdw1E1pU,أغرب قصة صعود في التاريخ | الدحيح,2023-12-30 17:00:07+00:00,New Media Academy Life ,4615127.0,108882.0,1861.0,1950.0
cRmbuJRPb9M,اللبن | الدحيح,2023-12-26 17:00:08+00:00,New Media Academy Life ,2653975.0,79002.0,2093.0,1105.0
QKrxZuKQ8J0,البوذا | الدحيح,2023-12-23 17:00:09+00:00,New Media Academy Life ,3651429.0,115214.0,6681.0,1016.0
4EiVHlsQNF4,هل يمكن أن تصل درجة الحرارة في الرياض وبغداد إلى 60C؟ | الدحيح,2023-12-19 17:00:09+00:00,New Media Academy Life ,4004923.0,124428.0,3087.0,1249.0
dPlQOrUnl24,النمر | الدحيح,2023-12-16 17:00:09+00:00,New Media Academy Life ,3299804.0,102967.0,2648.0,1219.0
THYvJgllb-o,الحرب على أهم صناعة في العالم | الدحيح,2023-12-12 17:00:08+00:00,New Media Academy Life ,4314479.0,111257.0,2657.0,2141.0
ikLp-QwVAhc,المجازات | الدحيح,2023-12-09 17:00:11+00:00,New Media Academy Life ,2045930.0,63142.0,1496.0,1200.0
b69HOs2U4lo,تاني يوم بعد القنبلة | الدحيح,2023-12-05 17:00:09+00:00,New Media Academy Life ,10948452.0,314110.0,6644.0,1661.0
UxvCYEdmJH0,الفول | الدحيح,2023-12-02 17:00:12+00:00,New Media Academy Life ,4380025.0,113670.0,3140.0,1483.0
8oPfjx6H-pM,الخلود | الدحيح,2023-11-28 17:00:10+00:00,New Media Academy Life ,3436639.0,111706.0,3777.0,1269.0
WW0raF3wuZU,البطاطس | الدحيح,2023-11-25 17:00:26+00:00,New Media Academy Life ,3778556.0,113380.0,2282.0,1274.0
BlyIHrIJoT0,عندما ذهب عبقري الشطرنج بوبي فيشر إلى الحرب | الدحيح,2023-11-21 13:11:54+00:00,New Media Academy Life ,5343080.0,184422.0,3279.0,1677.0
f0oy-NicIgE,فلسطين .. حكاية الأرض | الدحيح | Palestine .. a Tale of Land,2023-11-14 18:14:59+00:00,New Media Academy Life ,28003775.0,1234676.0,57559.0,3756.0
-DVXdsZbcf8,نهاية المماليك | الدحيح,2023-10-10 17:00:11+00:00,New Media Academy Life ,4113166.0,103908.0,3473.0,1816.0
YXcg79ZcQc4,المماليك | الدحيح,2023-10-07 17:00:10+00:00,New Media Academy Life ,7164954.0,139823.0,2961.0,2037.0
RLL_QRAONSw,غزو الكائنات | الدحيح,2023-10-03 17:00:08+00:00,New Media Academy Life ,3094706.0,85630.0,1397.0,1482.0
YojIlSjdjto,😂 | الدحيح,2023-09-30 17:00:12+00:00,New Media Academy Life ,1863894.0,63042.0,1422.0,1538.0
pWKshuxAIBM,شبح الأمومة | الدحيح,2023-09-26 17:00:11+00:00,New Media Academy Life ,2346175.0,81871.0,2359.0,1529.0
4gZFVrePKSU,كريستيانو رونالدو - الجزء التاني | الدحيح,2023-09-23 17:00:08+00:00,New Media Academy Life ,3891188.0,145579.0,2721.0,1588.0
r8aaonxBWVM,كريستيانو رونالدو - الجزء الأول | الدحيح,2023-09-19 17:00:10+00:00,New Media Academy Life ,7657185.0,237508.0,4458.0,1640.0
dVVhGRxCKQ4,المنظمة السرية التي تحكم الأرض المسطحة خلف الجدار الجليدي | الدحيح,2024-11-19 18:00:06+00:00,New Media Academy Life ,4695791.0,120189.0,6441.0,1811.0
JUUuzUL0S28,هل إله الشر هو الشيطان؟  | الدحيح,2024-11-16 18:00:06+00:00,New Media Academy Life ,3157210.0,97296.0,5342.0,1545.0
fy8T9OwVt0Y,إيلون ماسك 2 | الدحيح,2024-11-12 18:00:06+00:00,New Media Academy Life ,2300161.0,66786.0,1297.0,2290.0
GYkpqo0AYrg,إيلون ماسك 1 | الدحيح,2024-11-09 18:00:06+00:00,New Media Academy Life ,3577206.0,104166.0,2213.0,2138.0
CLr_v2v3tOY,الفطر الساحر | الدحيح,2024-11-05 18:00:06+00:00,New Media Academy Life ,2328232.0,65098.0,1709.0,1694.0
PfU4cG3WZF8,بحر الظلمات  | الدحيح,2024-11-02 18:00:05+00:00,New Media Academy Life ,5620260.0,146768.0,3649.0,1716.0
-g4vvXmE0YI,المسكنات | الدحيح,2024-10-29 17:00:06+00:00,New Media Academy Life ,3214688.0,90434.0,2288.0,1885.0
uA-h1CmScHQ,دونالد ترامب | الدحيح,2024-10-26 17:00:06+00:00,New Media Academy Life ,6158597.0,112647.0,3414.0,2982.0
0ZoRPnYRQaM,الأمراض اليتيمة | الدحيح,2024-10-22 17:00:06+00:00,New Media Academy Life ,1787630.0,59158.0,1397.0,1550.0
a5MXippLahM,أنجيلا ميركل | الدحيح,2024-10-19 17:00:06+00:00,New Media Academy Life ,3010092.0,79892.0,2494.0,2155.0
wooNi1lr-7g,التسلل | الدحيح,2024-10-15 17:00:06+00:00,New Media Academy Life ,2678442.0,85822.0,1546.0,1919.0
